iter	Passed	Remaining
0	147	44027
1	148	22176
2	149	14832
3	151	11187
4	152	8977
5	153	7519
6	154	6478
7	156	5695
8	157	5091
9	158	4602
10	160	4206
11	161	3873
12	162	3592
13	164	3351
14	165	3144
15	166	2958
16	168	2796
17	168	2641
18	169	2513
19	171	2396
20	172	2292
21	173	2193
22	174	2107
23	176	2030
24	178	1959
25	179	1892
26	180	1829
27	182	1772
28	184	1727
29	185	1670
30	186	1620
31	188	1576
32	189	1536
33	191	1498
34	193	1462
35	194	1427
36	196	1399
37	198	1367
38	199	1337
39	201	1310
40	204	1289
41	206	1268
42	208	1243
43	209	1219
44	211	1196
45	213	1176
46	214	1155
47	216	1134
48	217	1114
49	218	1094
50	220	1075
51	222	1058
52	223	1043
53	225	1026
54	227	1011
55	228	996
56	230	981
57	232	968
58	233	953
59	235	940
60	236	926
61	237	913
62	239	900
63	240	887
64	242	875
65	244	866
66	245	854
67	247	843
68	248	832
69	250	821
70	251	811
71	253	801
72	254	792
73	255	780
74	256	770
75	258	761
76	259	752
77	261	744
78	263	736
79	264	727
80	266	719
81	267	712
82	269	704
83	271	697
84	272	689
85	274	681
86	275	674
87	276	666
88	278	660
89	280	654
90	282	649
91	284	642
92	284	634
93	286	627
94	287	621
95	289	615
96	290	608
97	292	602
98	293	596
99	295	590
100	296	584
101	298	578
102	299	572
103	300	566
104	301	560
105	303	555
106	304	549
107	306	545
108	308	540
109	309	535
110	311	529
111	312	524
112	314	519
113	315	515
114	317	510
115	318	505
116	319	499
117	320	494
118	322	490
119	323	485
120	325	481
121	326	476
122	328	472
123	329	468
124	331	463
125	332	459
126	333	453
127	334	449
128	336	445
129	337	441
130	338	437
131	340	432
132	341	428
133	342	424
134	344	420
135	345	416
136	346	412
137	348	408
138	349	405
139	351	401
140	352	397
141	354	394
142	355	390
143	357	386
144	358	383
145	360	379
146	360	375
147	362	371
148	363	368
149	364	364
150	366	361
151	367	358
152	369	354
153	370	351
154	372	348
155	373	345
156	375	341
157	376	338
158	378	335
159	379	332
160	381	329
161	382	326
162	384	323
163	385	319
164	387	316
165	388	313
166	390	310
167	391	307
168	393	305
169	395	302
170	396	299
171	398	296
172	399	293
173	401	290
174	402	287
175	404	284
176	406	282
177	408	279
178	409	276
179	411	274
180	412	271
181	414	268
182	415	265
183	416	262
184	418	260
185	420	257
186	421	254
187	423	252
188	424	249
189	426	246
190	427	244
191	429	241
192	430	238
193	432	236
194	433	233
195	434	230
196	436	228
197	438	225
198	439	223
199	440	220
200	442	217
201	443	215
202	445	212
203	446	210
204	448	207
205	450	205
206	451	203
207	453	200
208	455	198
209	456	195
210	457	193
211	459	190
212	460	188
213	462	185
214	464	183
215	465	181
216	467	178
217	468	176
218	470	173
219	471	171
220	473	169
221	474	166
222	476	164
223	477	162
224	479	159
225	481	157
226	483	155
227	484	153
228	486	150
229	488	148
230	488	145
231	490	143
232	491	141
233	493	139
234	495	136
235	496	134
236	498	132
237	499	130
238	501	128
239	503	125
240	504	123
241	506	121
242	508	119
243	509	117
244	511	114
245	513	112
246	514	110
247	516	108
248	517	105
249	519	103
250	520	101
251	522	99
252	523	97
253	525	95
254	526	92
255	528	90
256	529	88
257	531	86
258	532	84
259	534	82
260	535	80
261	537	77
262	538	75
263	540	73
264	541	71
265	543	69
266	544	67
267	545	65
268	547	63
269	549	61
270	550	58
271	552	56
272	553	54
273	555	52
274	556	50
275	558	48
276	559	46
277	561	44
278	562	42
279	564	40
280	565	38
281	567	36
282	569	34
283	570	32
284	572	30
285	573	28
286	574	26
287	576	24
288	578	22
289	579	19
290	581	17
291	582	15
292	584	13
293	585	11
294	587	9
295	588	7
296	590	5
297	592	3
298	593	1
299	595	0
